Name,Logo,Site,Funding Rounds,Location(s),Notes
Tullis Growth Fund,ea137b479c53179ba2f9bcf9814dea3b.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/XcBnVyeqOpGYt3-viDJKiQ/7huSwarX6etoe-AUWdLIMdvJ6sUU9UHU4Hd5PlHbDLkK89Hon8m_ZOOg1piYPyqeTODWGQ8MgcfuKV5LWfg0HFZAL6I80LNzPy3MCjWLE-NBhM5AYSIC1f52B1jqkYeS/Qr7S8TLMDVYaToffeaIeXR5ogXCmy5rDiJjkWQmJKsY),http://www.tullisfunds.com/funds/tg-tullis-growth,Tullis Growth Fund I,"Beijing,""Greenwich, CT"",""Palm Beach Gardens, FL""",
Twilio Fund,a11a490b6bd05d843b4371f580b93f11.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/m863Lv9JBxReXhGwybJwKQ/Se_fdhR4Hr3T5urLRvIJrvvjtQs-MaU3GPjgF8T2RC3SA144R6pHOboUG_QCu3bfal6FLbe_T0oN8GsfA8_Lgh4CRMK3gzlkBU5TDlZP01PLLrycqBixBE2EPkKKnlQN/Mt8Sz1FDKH69yrWZhnb1mMXpnRwY9CPwPss5PjitTqc),https://www.twilio.com/fund,Twilio Fund I,SF Bay Area/Silicon Valley,
Underscore,rnhu3gcavgubznak04vk.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/KvqNTjlLG345TkNi4vK_Uw/hv2dqd9DWZkGpykijI52LnQsUxOZZ6y5RwYWf3cXbRc0GOQk6Mqfp4vqzEi7qAqHoBP4HGhfjjgfAJPaDozcf8Qy49FjFI0P904_pucI8dqm9tXY0Cr2cy8JAnVp83M2/UmIDpEube6XDySrpj1GynB5dM_Trn27eQfn9sQBHTqk),http://www.underscore.vc/,Underscore I,Boston/Cambridge,
Union Square Ventures,vt0qjg347v6gall2hmeb.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/JIxEOUB3zK60YR6oAXgHBg/NKpkOGoistubkZ_vh1vBzjGDKN_W99FdXDevRviSEjecXK-_ounynTEwXlm7Pm4e1fajM68WNSTefQGy5vWOC1E_nSYvTrFq49HbXflFlqqMRjUq5qQxlJJu2TWH-XbJ/_zwBhlzr-W7-0Bmagf_lSqi00MKgwhT85_228WmN4f0),http://www.usv.com/,"Union Square Ventures V,Union Square Ventures IV,Union Square Ventures IV,Union Square Ventures III,Union Square Ventures II","""New York, NY""",
Unshackled,kw3dsmzg8gql7vamx6ya.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/tlA4ZigzcwMeKGKW-Gv50g/Xg7dTN02zbdoJFEi64UhF34VUgPQBrLIDW2w8PS4JeXnbMTLQ00LlVAqc33za4GKPqAzKbvr2zZbscDDLU_UrRbAl2vQv3NHTOTqWtceAQVlpyUKz-Q5eEEIw_KWSSpv/AKYRJCNeyl80Neiwj5FkzEjjmmG1vU1MVJohJWG6m1Q),http://unshackledvc.com/,Unshackled I,SF Bay Area/Silicon Valley,
Upfront,8647fd890a54e10bd320ada2651040c5.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/xNskDa3f6fFdeOTDTgw0uQ/eHePhug1Hx8-R7-_RUuZrH3nB_QbqJZopIcvSJlDabDypwGnHWgPM4Km5WtXhpdqE1pRKTA0f3pUdVEm_9qSx-Js1b6AS9-eSF_tTZxQL9GtxgOafEfbTFhkaCsbs2EP/rfhVlRDIWSNV5run6DUskdAgzYm-wHVvi_YQcvxO4-s),http://upfront.com/,Upfront IV,Los Angeles,
Upside Partnership,xxksxcjcwo8nqeaxmzx3.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/KHk2Z3Qt0-K4eazmdrTL6w/eCHTuBD8sVUxY7AdDPGPC3pjNY5btCYh4xsxTEnYRiozQ2zXwhjJgwbID987DhpWuBv9wCkjyWnMIFDjI3mKRTUpKrgV16mDCXmY40jTGj2MYFwfPz7BAeMraVW38VwF/ZNIxEDhxoiB4Z9KnYzSvAX37W6n2GWMmbg_-jPWF4og),http://upsidevc.com/,"Upside Partnership II,Upside Partnership I",SF Bay Area/Silicon Valley,
Vayner/RSE,mojwshldpnj7zh3hcrau.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/5WJGrC4CiURKm5TWHvwR7w/B9LOnwS9ruFbX69UBFOvOGBH8lOExpR59vQC_g3wy7pQr-996vSNj0Wla0-Nr1IYN-1iCGSaH19JmgIjtKLb1vOkOyBLpOjRH0P0VlE5i0-6a3spQkJAhChKQq2ZPf3U/QU2dI_ayQZyzVla91JcOpi0SbYE95ojzmdLKTi7qr1k),http://vaynerrse.com/,Vayner/RSE I,"""New York, NY""",
VTF Capital,mxpa3opnnapqvvmcfhjr.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/DgfgwKocXHWvA5nrWJXiyw/v3pfZZx8mHG-Z7rzHdmNpxCwxqtrSZ5qQdijWRKi6VMkeCU_FaysuicKFn8ZSaY4DptzOOSOnbWQbIbGNFyEUIU4hSOApPpt-VYVD81L4kEqAD0oK4AC_4k1EU_1k30o/2HaSrGQj5-QHRR7I7O5M6vaYbtaRO2jrAtPii0aMQtw),http://vtfcapital.com/,VTF Capital I,Las Vegas,Formerly Vegas Tech Fund
Velos Partners,bbbd974579342a0699cf3159242a044b.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/GB4YIEa3sk2yy7UPnciTfA/zE4-Vt3yfjTy3wy9Jo1JBrf2_DR4Ekg2_7ay2y64WIeY3_yhMIjCjHegxaEIWRxAZLEuooR6b5I6pO_2d6FwzkCL926e1RNOHbb1BEvb3vbx9mDjIISfW9CFIkGVLF0h/eDS0OORiVI5HNVBFmjR8hTcY7tWsQV8VdNXqkuF2f4Q),http://www.velospartners.com/,Velos Partners I,Los Angeles,
Version One Ventures,f87799370e7476d4da670d7af135eebb.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/XoMmAGbBSXAMUrTOpO70pg/YbSLGvqmYPwqcpbI7DDss2ZdWLkZDsEK76TJNcBlTELwyRYmm1B3UBx2JhFc3v6WSK5jG3zQtaz281wIuaczhYgvk4bOy9LSMqCmQRzHGEvXhMO31JAUKu8StZjYmzwV/iA3ZSvemhlyPu3vdoT_PKeOVkIieS3nxa_zwIyED8z0),http://versionone.vc/,"Version One Ventures II,Version One Ventures I",Vancouver,
Westly Group,dc1ee6850578def24dbe5d3a4f1941e3.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/5zUD33sEVTRe6wMeJGa37Q/-wpq5pbo3P3Ukd5hLymlU7zcYqyCOP5pcX12Dr2d-NK9a-UpebQxikxuJfg1gmBFjuQ-m7PM6XcNdJpIP7zpxffv2zhw92agdG3tf1Ye16nRrnNhG16w2gLSolSXsU9Z/rp7HFqWoJhCgYGKCos812QY-j1T9dOafvwu_kpqJ1yQ),http://www.westlygroup.com/,Westly Group II,SF Bay Area/Silicon Valley,
White Star Capital,hcw35ep4xvtw0inw6yse.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/zaqUDDN8kW1Q-p8OnDh2BA/4YoZe4OAX3kDXaEHgyA3wVrVGolK30_M4W4SkGHFJcQQWJ70OvvOXVd5ndIxXTIn3kZI93DXW1BrY_WqyDkb_9LsmRBQ5PZFQv-HPXnBID7znVo7233A-HlaSC0Vs1xG/6TpZPz9KvNq-WGJLYEPHTX7NWKA9GQf0qhJpS31fNx0),http://www.whitestarvc.com/,White Star Capital I,"""New York, NY"",London,Montréal",
WI Harper Group,logo.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/lWR4b2gAAK5po5MLvMDfvQ/0EDm4ypd0WH35geO1-zuM2FtEdqsKK1i7_tbglQqsQKrZ1sS6yfzoCyzgm52ykOIn3tcS4IXcKSHuNFDh06Qg2J7akAsYqaXv__COtk4ptY/hVIy2GLVzMkPPeiMO5n5T4R7ESrKmBv00vsR3dHeXdo),http://www.wiharper.com/,WI Harper Group VIII,"SF Bay Area/Silicon Valley,Beijing,Taipei",
WindSail Capital,aacec93ebdb4feda2606eed89b87938b.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/qNofjF6wtWdH4xEhCQoXsg/4DjOlX4AYGe-P3Nzjx7-uWqnKnUIELdUV3Rlvi1C4sitX9SvrF5r1s3JZmGGxAsIoyOrekXH1T7siTeZHetT32UmF7QBxVRg4q6x06Iq2Us7KjNGBfli-lRbCHUOjhVL/AGB9vXxv719wkc0gVlP0YNc9BiEQVvqju2E2uXVXyks),http://windsailcapital.com/,WindSail Capital I,Boston/Cambridge,
Wing Venture Capital,5ec4bd8b0bd1de122ce94b9993fbdf2e.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/F6PLbXHb6uKo02hVVBffxA/VLsF74XJpyRbzX8EMKIG1EFKPUUPzpTO7NCLonVdJuUIRaS_FFMVSm86wseqj9t1h32XHmfancMV6ZuWvurlt71sWN8Kxj6Byo6d-sA6SkAX5Q8ev_fipW5_J_rLgw5V/dfIZXV2OtZFF8vXLQHbWa0Poxh9qNWG1JHaLGjioLks),http://wing.vc/,Wing Venture Capital I,SF Bay Area/Silicon Valley,
Work-Bench Ventures,4317ffa86e35706a3436c5d7b2b4abd7.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/lI7Tkr5Tm8B3qUNYMgNkCA/odqkWc3GlJy7CSfuMP4ABlxqzSraoOGTpBCSfjImaW8AJFGRMqr4HHlkKv1ZPRuGUOUVZIw3Irp5JP0v_7sdATtLq6e_tH7F8WYuw2G498D9nYcZmpt4dkfGlkddpAV5/lyIlEIquSUEr3EQUj8vv_QIgorKaxKrF1zDL03BLepU),http://work-bench.com/,Work-Bench Ventures I,"""New York, NY""",
xFund,cfo9fy3wpyedprzzv3kg.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/LE5HbPfwZmkGaSzFfmbIAg/Mbqmq8Z_s4nuSENQDpm4JwsF5Ts6paETsXJWmm4YKgyt-4nJvTWfn3ZSU2VWHxQCbMgV_KPkfqyoWLPIngsX_kGLs27IBQDoWbnC_xqyomO2AMN5RYTYvTpoy0LapFXm/BZRnS8eIw5SZfUn_x5aYr5vT8NGdrsPQHgxCBtGlUxY),http://xfund.com/,xFund II,"Boston/Cambridge,SF Bay Area/Silicon Valley",
YL Ventures,55a03e66cf8212d65726740b416f14a2.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/rs6s053zhFXEWCEC6XVlAQ/KFES7ClAq81pWt5GECVvT2zoQx1c2IpmzSBfLY0enxUh-dQM5q6gEqqRWhFBVL4lFrgMmoZnok95pQh9qIuT4mFZ6rySUb5gJ-bUbVvfp2NJ53lNPKMo4pDsUNANcVIR/9INr3jhzoqYsg8UoDg8TnYoFxcAF-LL2gFxTEJ9SivE),http://www.ylventures.com/,YL Ventures II,"Tel Aviv Metro Area,SF Bay Area/Silicon Valley",
Zetta Venture Partners,r3skqe9nezeytlb2oigs.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/Ro3Oux-pA1g1oFqTVfB6Uw/ANMEOTrLmIi_N29D1xMUBXKXR_laXPTGpK_skOYnhD3Emr5gRe3ekerL0CLTIe_RGhNRJVCFi-eKERGP3OOIaqB8jmnYm9Rc_P9xR8zS75ZPRwQnIYJCuy9f0J3zSN9d/CdgaZL02Q2oWeus7ww-6coi_TG2U5QfLYOKNFVGS_6Y),http://www.zettavp.com/,"Zetta Venture Partners II,Zetta Venture Partners I",SF Bay Area/Silicon Valley,
